,const,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,rooms_per_household,population_per_household,bedrooms_per_room,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN
18625,1.0,-122.0,37.08,17.0,4154.0,739.0,2149.0,693.0,5.5919,5.994227994227995,3.101010101010101,0.17790081848820413,0,0,0,1
19439,1.0,-121.0,37.68,15.0,1232.0,180.0,408.0,196.0,6.9682,6.285714285714286,2.0816326530612246,0.1461038961038961,1,0,0,0
11718,1.0,-120.1,39.2,20.0,1703.0,294.0,409.0,174.0,3.087,9.78735632183908,2.3505747126436782,0.17263652378156194,1,0,0,0
11728,1.0,-120.02,39.24,32.0,1347.0,444.0,825.0,303.0,1.8269,4.445544554455446,2.722772277227723,0.32962138084632514,1,0,0,0
18660,1.0,-121.95,36.98,34.0,3745.0,958.0,1622.0,802.0,3.1546,4.669576059850374,2.0224438902743143,0.25580774365821096,0,0,0,1
202,1.0,-122.23,37.78,43.0,1420.0,472.0,1506.0,438.0,1.9338,3.2420091324200913,3.4383561643835616,0.3323943661971831,0,0,1,0
16155,1.0,-122.49,37.78,47.0,2695.0,643.0,1505.0,644.0,3.0877,4.184782608695652,2.3369565217391304,0.23858998144712432,0,0,1,0
18803,1.0,-122.06,40.55,17.0,3057.0,577.0,1497.0,556.0,3.5189,5.498201438848921,2.6924460431654675,0.18874713771671572,1,0,0,0
2449,1.0,-119.54,36.52,16.0,2703.0,415.0,1106.0,372.0,4.2045,7.266129032258065,2.9731182795698925,0.15353311135775063,1,0,0,0
20587,1.0,-121.6,39.15,19.0,1396.0,336.0,940.0,309.0,1.5208,4.517799352750809,3.042071197411003,0.24068767908309455,1,0,0,0
8086,1.0,-118.2,33.81,46.0,1388.0,254.0,742.0,241.0,4.6458,5.759336099585062,3.078838174273859,0.1829971181556196,0,0,0,1
1542,1.0,-121.94,37.73,22.0,1980.0,291.0,861.0,290.0,6.2726,6.827586206896552,2.9689655172413794,0.14696969696969697,0,0,0,0
9164,1.0,-118.47,34.42,25.0,3223.0,524.0,1763.0,508.0,5.2887,6.344488188976378,3.470472440944882,0.16258144585789636,0,0,0,0
12213,1.0,-117.18,33.51,13.0,270.0,42.0,120.0,42.0,6.993,6.428571428571429,2.857142857142857,0.15555555555555556,0,0,0,0
2573,1.0,-124.11,40.81,23.0,959.0,212.0,425.0,175.0,2.5536,5.48,2.4285714285714284,0.2210636079249218,0,0,0,1
2418,1.0,-119.46,36.6,18.0,1404.0,226.0,754.0,229.0,3.9844,6.131004366812227,3.2925764192139737,0.16096866096866097,1,0,0,0
1820,1.0,-122.3,37.92,32.0,3943.0,605.0,1524.0,614.0,6.0677,6.421824104234528,2.482084690553746,0.15343646969312705,0,0,1,0
19106,1.0,-122.63,38.26,7.0,7808.0,1390.0,3551.0,1392.0,4.6069,5.609195402298851,2.5510057471264367,0.17802254098360656,0,0,0,0
5247,1.0,-118.44,34.09,36.0,3129.0,392.0,862.0,334.0,15.0001,9.368263473053892,2.5808383233532934,0.12527964205816555,0,0,0,0
19350,1.0,-122.94,38.57,33.0,1530.0,266.0,728.0,250.0,5.1005,6.12,2.912,0.1738562091503268,0,0,0,0
16187,1.0,-121.3,37.96,24.0,1212.0,366.0,1202.0,343.0,1.7875,3.5335276967930027,3.5043731778425657,0.30198019801980197,1,0,0,0
13601,1.0,-117.25,34.16,35.0,2707.0,481.0,1595.0,479.0,3.9018,5.651356993736952,3.3298538622129437,0.17768747691171038,1,0,0,0
1549,1.0,-121.92,37.73,24.0,1407.0,327.0,501.0,295.0,2.4821,4.769491525423729,1.6983050847457628,0.232409381663113,0,0,0,0
15372,1.0,-117.24,33.38,16.0,2792.0,525.0,1696.0,516.0,3.668,5.410852713178294,3.2868217054263567,0.18803724928366763,0,0,0,0
285,1.0,-122.17,37.77,30.0,3326.0,746.0,1704.0,703.0,2.875,4.731152204836415,2.4238975817923185,0.2242934455802766,0,0,1,0
3055,1.0,-119.33,35.6,32.0,2703.0,683.0,2682.0,675.0,1.4619,4.004444444444444,3.973333333333333,0.2526822049574547,1,0,0,0
1356,1.0,-121.92,38.02,16.0,1840.0,355.0,1288.0,338.0,4.2067,5.443786982248521,3.8106508875739644,0.19293478260869565,1,0,0,0
2423,1.0,-119.55,36.6,18.0,2379.0,448.0,1638.0,436.0,2.309,5.456422018348624,3.756880733944954,0.18831441782261454,1,0,0,0
6356,1.0,-117.96,34.14,9.0,907.0,207.0,619.0,194.0,3.9464,4.675257731958763,3.1907216494845363,0.22822491730981256,1,0,0,0
20564,1.0,-121.71,38.72,32.0,710.0,155.0,550.0,154.0,2.8882,4.6103896103896105,3.5714285714285716,0.21830985915492956,1,0,0,0
2452,1.0,-119.56,36.51,9.0,3860.0,809.0,2157.0,770.0,2.5033,5.012987012987013,2.8012987012987014,0.2095854922279793,1,0,0,0
11530,1.0,-118.08,33.76,25.0,1995.0,637.0,743.0,597.0,1.4617,3.341708542713568,1.2445561139028476,0.3192982456140351,0,0,0,0
4032,1.0,-118.54,34.17,25.0,3352.0,891.0,1815.0,860.0,2.8528,3.8976744186046512,2.11046511627907,0.26581145584725535,0,0,0,0
13276,1.0,-117.63,34.09,8.0,3557.0,890.0,2251.0,765.0,2.6818,4.649673202614379,2.942483660130719,0.25021085184143943,1,0,0,0
14074,1.0,-117.12,32.76,27.0,1426.0,364.0,792.0,353.0,2.0673,4.039660056657223,2.2436260623229463,0.2552594670406732,0,0,0,1
19926,1.0,-119.33,36.32,23.0,3137.0,628.0,1446.0,548.0,2.5,5.724452554744525,2.6386861313868613,0.20019126554032515,1,0,0,0
4895,1.0,-118.24,34.01,48.0,396.0,99.0,485.0,110.0,2.375,3.6,4.409090909090909,0.25,0,0,0,0
2052,1.0,-119.73,36.72,15.0,2246.0,456.0,1190.0,403.0,2.0294,5.573200992555831,2.9528535980148884,0.20302760463045413,1,0,0,0
13312,1.0,-117.6,34.08,15.0,2700.0,460.0,1432.0,449.0,4.9063,6.013363028953229,3.1893095768374167,0.17037037037037037,1,0,0,0
13408,1.0,-117.48,34.09,32.0,1650.0,328.0,1124.0,290.0,3.1838,5.689655172413793,3.8758620689655174,0.1987878787878788,1,0,0,0
14271,1.0,-117.12,32.7,38.0,818.0,217.0,953.0,231.0,1.0531,3.5411255411255413,4.125541125541125,0.265281173594132,0,0,0,1
9238,1.0,-119.9,36.94,11.0,2513.0,408.0,1360.0,415.0,4.277,6.055421686746988,3.2771084337349397,0.1623557500994827,1,0,0,0
4,1.0,-122.25,37.85,52.0,1627.0,280.0,565.0,259.0,3.8462,6.281853281853282,2.1814671814671813,0.1720958819913952,0,0,1,0
12040,1.0,-117.48,33.89,14.0,10395.0,1799.0,6295.0,1855.0,4.7295,5.60377358490566,3.393530997304582,0.17306397306397306,1,0,0,0
1991,1.0,-119.8,36.72,43.0,1286.0,360.0,972.0,345.0,0.9513,3.727536231884058,2.8173913043478263,0.27993779160186627,1,0,0,0
8981,1.0,-118.42,34.0,33.0,1139.0,299.0,734.0,257.0,3.2708,4.4319066147859925,2.8560311284046693,0.26251097453906935,0,0,0,0
580,1.0,-122.07,37.71,36.0,2879.0,480.0,1235.0,455.0,4.9801,6.327472527472527,2.7142857142857144,0.1667245571378951,0,0,1,0
6169,1.0,-117.93,34.09,37.0,1185.0,225.0,769.0,235.0,4.4625,5.042553191489362,3.272340425531915,0.189873417721519,0,0,0,0
15662,1.0,-122.43,37.81,39.0,3275.0,837.0,1137.0,725.0,3.7679,4.517241379310345,1.5682758620689654,0.25557251908396944,0,0,1,0
6753,1.0,-118.09,34.11,45.0,1883.0,275.0,764.0,289.0,6.5078,6.515570934256055,2.643598615916955,0.1460435475305364,0,0,0,0
982,1.0,-121.85,37.66,14.0,4236.0,701.0,1833.0,663.0,5.6399,6.389140271493213,2.764705882352941,0.1654863078375826,1,0,0,0
4519,1.0,-118.2,34.04,44.0,1582.0,544.0,1998.0,515.0,1.6888,3.071844660194175,3.8796116504854368,0.3438685208596713,0,0,0,0
4351,1.0,-118.36,34.1,36.0,2963.0,838.0,1129.0,745.0,2.5588,3.9771812080536915,1.5154362416107383,0.28282146473169084,0,0,0,0
12538,1.0,-121.49,38.56,52.0,1844.0,392.0,667.0,353.0,3.0033,5.223796033994335,1.8895184135977336,0.21258134490238612,1,0,0,0
8739,1.0,-118.31,33.81,23.0,3942.0,748.0,1679.0,711.0,4.1169,5.544303797468355,2.361462728551336,0.18975139523084728,0,0,0,0
4857,1.0,-118.3,34.02,49.0,2120.0,483.0,1522.0,416.0,1.85,5.096153846153846,3.6586538461538463,0.2278301886792453,0,0,0,0
12113,1.0,-117.24,33.95,11.0,6617.0,1118.0,3710.0,1087.0,4.7877,6.087396504139835,3.4130634774609017,0.16895874263261296,1,0,0,0
13765,1.0,-117.13,34.07,34.0,2405.0,541.0,1342.0,514.0,2.8031,4.678988326848249,2.6108949416342413,0.22494802494802496,1,0,0,0
9023,1.0,-118.82,34.14,22.0,11668.0,1730.0,4054.0,1671.0,6.9935,6.9826451226810295,2.4260921603830043,0.14826876928351046,0,0,0,1
6696,1.0,-118.1,34.14,45.0,3066.0,659.0,1287.0,625.0,3.5804,4.9056,2.0592,0.21493803000652315,0,0,0,0
9623,1.0,-120.31,37.29,40.0,1542.0,341.0,1283.0,341.0,1.6929,4.521994134897361,3.7624633431085046,0.22114137483787288,1,0,0,0
19823,1.0,-119.35,36.52,39.0,3027.0,608.0,2199.0,592.0,2.6445,5.113175675675675,3.714527027027027,0.20085893624050213,1,0,0,0
2207,1.0,-119.86,36.81,4.0,4530.0,1070.0,1804.0,837.0,3.3942,5.412186379928316,2.15531660692951,0.23620309050772628,1,0,0,0
20395,1.0,-118.85,34.25,17.0,5593.0,732.0,1992.0,660.0,7.2965,8.474242424242425,3.018181818181818,0.13087788306812087,0,0,0,0
12673,1.0,-121.4,38.49,12.0,7290.0,1283.0,3960.0,1248.0,3.5968,5.841346153846154,3.173076923076923,0.17599451303155006,1,0,0,0
14557,1.0,-117.21,32.96,3.0,6251.0,988.0,2330.0,893.0,8.4355,7.0,2.609182530795073,0.1580547112462006,0,0,0,1
7223,1.0,-118.16,34.02,34.0,1474.0,511.0,1962.0,501.0,1.8715,2.942115768463074,3.9161676646706587,0.3466757123473541,0,0,0,0
19433,1.0,-121.04,37.65,8.0,1959.0,379.0,995.0,365.0,3.3567,5.367123287671233,2.7260273972602738,0.19346605410923942,1,0,0,0
502,1.0,-122.27,37.85,47.0,1375.0,307.0,843.0,319.0,1.3785,4.310344827586207,2.6426332288401255,0.22327272727272726,0,0,1,0
20057,1.0,-119.27,35.89,18.0,1855.0,424.0,1839.0,392.0,1.7572,4.732142857142857,4.691326530612245,0.22857142857142856,1,0,0,0
3914,1.0,-118.52,34.19,42.0,881.0,170.0,464.0,163.0,2.9511,5.404907975460123,2.8466257668711656,0.19296254256526674,0,0,0,0
11130,1.0,-117.93,33.85,33.0,2489.0,546.0,1857.0,444.0,2.9474,5.6058558558558556,4.1824324324324325,0.21936520691040579,0,0,0,0
5475,1.0,-118.46,34.0,44.0,941.0,230.0,493.0,206.0,3.6458,4.567961165048544,2.3932038834951457,0.24442082890541977,0,0,0,0
1199,1.0,-121.7,39.37,32.0,1852.0,373.0,911.0,365.0,1.7885,5.073972602739726,2.495890410958904,0.20140388768898487,1,0,0,0
17823,1.0,-121.86,37.38,15.0,2052.0,405.0,1380.0,409.0,5.8686,5.017114914425428,3.374083129584352,0.19736842105263158,0,0,0,0
16505,1.0,-121.13,37.74,21.0,2376.0,475.0,1175.0,441.0,3.6016,5.387755102040816,2.6643990929705215,0.1999158249158249,1,0,0,0
5258,1.0,-118.49,34.07,36.0,2929.0,366.0,1054.0,352.0,13.5728,8.321022727272727,2.9943181818181817,0.12495732331853875,0,0,0,0
891,1.0,-121.94,37.54,27.0,3715.0,526.0,1631.0,538.0,6.2179,6.905204460966543,3.0315985130111525,0.14158815612382233,0,0,0,0
20332,1.0,-119.05,34.24,24.0,4341.0,646.0,1929.0,703.0,5.4298,6.174964438122333,2.743954480796586,0.14881363741073486,0,0,0,0
14829,1.0,-117.1,32.67,26.0,2629.0,763.0,2721.0,767.0,2.0982,3.4276401564537156,3.547588005215124,0.2902244199315329,0,0,0,1
10406,1.0,-117.59,33.66,3.0,1206.0,256.0,563.0,287.0,5.1589,4.2020905923344944,1.961672473867596,0.21227197346600332,0,0,0,0
4423,1.0,-118.25,34.07,43.0,764.0,322.0,1275.0,306.0,2.0,2.496732026143791,4.166666666666667,0.4214659685863874,0,0,0,0
15379,1.0,-117.25,33.36,6.0,3725.0,960.0,2833.0,915.0,2.3214,4.0710382513661205,3.096174863387978,0.25771812080536916,0,0,0,0
15045,1.0,-116.92,32.77,16.0,2770.0,406.0,1269.0,429.0,6.6783,6.456876456876457,2.958041958041958,0.14657039711191336,0,0,0,0
15611,1.0,-116.89,32.67,9.0,2652.0,393.0,1355.0,362.0,6.2578,7.3259668508287294,3.7430939226519335,0.14819004524886878,0,0,0,0
10333,1.0,-117.75,33.83,14.0,2452.0,296.0,954.0,275.0,8.2375,8.916363636363636,3.4690909090909092,0.12071778140293637,0,0,0,0
9514,1.0,-123.21,39.13,27.0,1531.0,266.0,822.0,234.0,4.0469,6.542735042735043,3.5128205128205128,0.1737426518615284,0,0,0,0
8528,1.0,-118.34,33.89,36.0,2274.0,411.0,1232.0,423.0,5.373,5.375886524822695,2.9125295508274234,0.18073878627968337,0,0,0,0
18337,1.0,-122.15,37.44,52.0,1400.0,217.0,522.0,227.0,4.9861,6.167400881057269,2.299559471365639,0.155,0,0,1,0
11222,1.0,-117.9,33.8,27.0,2176.0,442.0,1440.0,418.0,4.375,5.205741626794258,3.444976076555024,0.203125,0,0,0,0
5562,1.0,-118.28,33.91,41.0,620.0,133.0,642.0,162.0,2.6546,3.8271604938271606,3.962962962962963,0.21451612903225806,0,0,0,0
10817,1.0,-117.95,33.63,17.0,6745.0,1547.0,2688.0,1535.0,3.9917,4.394136807817589,1.7511400651465798,0.22935507783543366,0,0,0,0
11772,1.0,-121.3,38.75,36.0,3903.0,885.0,2313.0,804.0,2.655,4.854477611940299,2.876865671641791,0.22674865488086088,1,0,0,0
8597,1.0,-118.37,33.88,20.0,2439.0,474.0,1219.0,497.0,5.9619,4.907444668008048,2.4527162977867203,0.1943419434194342,0,0,0,0
17891,1.0,-121.93,37.4,34.0,148.0,28.0,132.0,13.0,3.375,11.384615384615385,10.153846153846153,0.1891891891891892,0,0,0,0
1269,1.0,-121.69,37.95,15.0,1850.0,441.0,1348.0,403.0,3.8125,4.590570719602978,3.3449131513647643,0.23837837837837839,1,0,0,0
15166,1.0,-117.05,32.95,17.0,3039.0,555.0,1297.0,552.0,3.9531,5.505434782608695,2.3496376811594204,0.18262586377097728,0,0,0,0
11382,1.0,-117.95,33.67,25.0,1611.0,383.0,554.0,327.0,3.0417,4.926605504587156,1.694189602446483,0.2377405338299193,0,0,0,0
11900,1.0,-117.37,33.94,14.0,9286.0,1269.0,3565.0,1238.0,6.6635,7.50080775444265,2.879644588045234,0.13665733362050397,1,0,0,0
15853,1.0,-122.43,37.74,52.0,1514.0,314.0,724.0,301.0,5.3292,5.029900332225914,2.4053156146179404,0.2073976221928666,0,0,1,0
1209,1.0,-120.46,38.15,16.0,4221.0,781.0,1516.0,697.0,2.3816,6.055954088952654,2.1750358680057387,0.18502724472873727,1,0,0,0
16396,1.0,-121.24,38.01,22.0,1526.0,299.0,790.0,300.0,2.4342,5.086666666666667,2.6333333333333333,0.19593709043250326,1,0,0,0
7888,1.0,-118.06,33.88,17.0,7187.0,1073.0,3844.0,1068.0,6.5901,6.729400749063671,3.599250936329588,0.14929734242382078,0,0,0,0
10670,1.0,-117.86,33.62,17.0,2975.0,371.0,1247.0,398.0,10.1989,7.474874371859296,3.1331658291457285,0.12470588235294118,0,0,0,0
13602,1.0,-117.25,34.15,30.0,1770.0,380.0,990.0,348.0,3.3,5.086206896551724,2.8448275862068964,0.21468926553672316,1,0,0,0
18376,1.0,-121.89,37.21,14.0,5636.0,697.0,2281.0,680.0,8.4262,8.288235294117648,3.3544117647058824,0.12366926898509581,0,0,0,0
4131,1.0,-118.2,34.13,52.0,2035.0,459.0,2589.0,438.0,3.5349,4.646118721461187,5.910958904109589,0.22555282555282555,0,0,0,0
3515,1.0,-118.47,34.25,34.0,1732.0,399.0,1120.0,401.0,4.1492,4.3192019950124685,2.7930174563591024,0.23036951501154734,0,0,0,0
17434,1.0,-120.46,34.63,48.0,1408.0,301.0,682.0,279.0,2.9271,5.046594982078853,2.4444444444444446,0.2137784090909091,0,0,0,1
16657,1.0,-120.66,35.27,17.0,2719.0,589.0,1386.0,570.0,3.7337,4.770175438596492,2.431578947368421,0.21662375873482898,0,0,0,1
18795,1.0,-122.34,41.06,33.0,2149.0,498.0,631.0,273.0,1.8816,7.871794871794871,2.311355311355311,0.23173569101907865,1,0,0,0
4297,1.0,-118.29,34.09,43.0,1583.0,658.0,1941.0,614.0,1.9835,2.5781758957654723,3.1612377850162865,0.4156664560960202,0,0,0,0
8230,1.0,-118.2,33.77,24.0,2404.0,819.0,1566.0,753.0,1.5076,3.192563081009296,2.0796812749003983,0.34068219633943425,0,0,0,1
3455,1.0,-118.41,34.3,28.0,3187.0,569.0,2205.0,559.0,5.1668,5.701252236135957,3.9445438282647585,0.17853780985252587,0,0,0,0
20386,1.0,-118.93,34.2,17.0,2619.0,606.0,1655.0,557.0,3.886,4.70197486535009,2.971274685816876,0.2313860252004582,0,0,0,0
15450,1.0,-117.32,33.17,18.0,2143.0,299.0,828.0,283.0,4.2383,7.572438162544169,2.9257950530035335,0.1395240317312179,0,0,0,1
8099,1.0,-118.22,33.81,41.0,726.0,166.0,602.0,183.0,3.7885,3.9672131147540983,3.289617486338798,0.22865013774104684,0,0,0,1
10889,1.0,-117.9,33.7,15.0,2289.0,686.0,982.0,634.0,4.5757,3.610410094637224,1.5488958990536277,0.2996941896024465,0,0,0,0
6234,1.0,-117.95,34.06,32.0,2252.0,415.0,1370.0,411.0,4.6312,5.479318734793187,3.3333333333333335,0.18428063943161635,0,0,0,0
17614,1.0,-121.92,37.29,32.0,1260.0,199.0,560.0,207.0,6.5858,6.086956521739131,2.7053140096618358,0.15793650793650793,0,0,0,0
1755,1.0,-122.32,37.94,46.0,1901.0,295.0,833.0,352.0,5.5196,5.400568181818182,2.366477272727273,0.1551814834297738,0,0,1,0
15858,1.0,-122.39,37.76,52.0,157.0,28.0,88.0,27.0,3.675,5.814814814814815,3.259259259259259,0.17834394904458598,0,0,1,0
17894,1.0,-121.95,37.37,39.0,446.0,129.0,317.0,127.0,3.0357,3.5118110236220472,2.4960629921259843,0.289237668161435,0,0,0,0
2604,1.0,-124.06,41.13,22.0,3263.0,799.0,1384.0,578.0,2.4708,5.645328719723183,2.394463667820069,0.2448666870977628,0,0,0,1
13487,1.0,-117.36,34.1,29.0,2819.0,637.0,1683.0,608.0,2.3205,4.636513157894737,2.768092105263158,0.2259666548421426,1,0,0,0
13843,1.0,-117.32,34.54,9.0,5904.0,1165.0,3489.0,1063.0,3.125,5.55409219190969,3.282220131702728,0.1973238482384824,1,0,0,0
17217,1.0,-119.7,34.43,39.0,1486.0,467.0,758.0,409.0,2.6875,3.6332518337408315,1.8533007334963325,0.3142664872139973,0,0,0,0
7957,1.0,-118.17,33.88,42.0,1645.0,371.0,1161.0,351.0,3.0893,4.686609686609686,3.3076923076923075,0.225531914893617,0,0,0,0
10320,1.0,-117.78,33.85,16.0,3781.0,504.0,1665.0,499.0,7.2554,7.577154308617234,3.3366733466933867,0.1332980692938376,0,0,0,0
4438,1.0,-118.2,34.08,41.0,1807.0,429.0,1699.0,424.0,2.2222,4.261792452830188,4.007075471698113,0.23741007194244604,0,0,0,0
298,1.0,-122.18,37.76,37.0,1575.0,358.0,933.0,320.0,2.2917,4.921875,2.915625,0.2273015873015873,0,0,1,0
20336,1.0,-118.96,34.23,14.0,15207.0,2924.0,6301.0,2829.0,3.9699,5.375397667020149,2.2272887946270767,0.1922798711119879,0,0,0,0
6499,1.0,-118.03,34.08,42.0,1597.0,373.0,1311.0,352.0,2.9688,4.536931818181818,3.7244318181818183,0.23356293049467752,1,0,0,0
19110,1.0,-122.64,38.23,52.0,1075.0,249.0,519.0,210.0,3.0769,5.119047619047619,2.4714285714285715,0.23162790697674418,0,0,0,0
5646,1.0,-118.29,33.75,37.0,1319.0,292.0,766.0,285.0,2.7031,4.628070175438596,2.687719298245614,0.221379833206975,0,0,0,1
14359,1.0,-117.22,32.74,52.0,1260.0,202.0,555.0,209.0,7.2758,6.028708133971292,2.6555023923444976,0.16031746031746033,0,0,0,1
8803,1.0,-118.4,33.78,26.0,5005.0,776.0,2357.0,790.0,8.5421,6.3354430379746836,2.9835443037974683,0.15504495504495505,0,0,0,1
6483,1.0,-118.02,34.08,29.0,2741.0,667.0,2449.0,677.0,3.6944,4.048744460856721,3.617429837518464,0.24334184604159065,1,0,0,0
17398,1.0,-120.44,34.94,24.0,2481.0,476.0,1101.0,474.0,3.1576,5.234177215189874,2.3227848101265822,0.19185812172511085,0,0,0,0
20604,1.0,-121.54,39.12,17.0,4251.0,899.0,3265.0,934.0,2.3496,4.5513918629550325,3.4957173447537473,0.21147965184662432,1,0,0,0
1944,1.0,-120.95,38.79,12.0,3247.0,579.0,1459.0,517.0,4.3981,6.28046421663443,2.8220502901353965,0.17831844779796735,1,0,0,0
5992,1.0,-117.71,34.08,26.0,2744.0,494.0,1411.0,465.0,4.2639,5.901075268817205,3.0344086021505374,0.18002915451895043,1,0,0,0
4634,1.0,-118.3,34.07,28.0,5221.0,2530.0,5840.0,2374.0,1.8829,2.1992417860151643,2.459983150800337,0.4845814977973568,0,0,0,0
3581,1.0,-118.54,34.25,26.0,2639.0,378.0,1191.0,401.0,6.2788,6.581047381546135,2.970074812967581,0.14323607427055704,0,0,0,0
17312,1.0,-119.72,34.77,35.0,2469.0,553.0,1168.0,427.0,2.4583,5.782201405152225,2.7353629976580796,0.22397731875253138,0,0,0,0
4678,1.0,-118.34,34.08,52.0,1721.0,195.0,688.0,196.0,15.0001,8.78061224489796,3.510204081632653,0.11330621731551424,0,0,0,0
8762,1.0,-118.36,33.81,34.0,2211.0,502.0,1113.0,488.0,4.7026,4.530737704918033,2.2807377049180326,0.22704658525554047,0,0,0,0
13817,1.0,-117.12,34.46,17.0,1613.0,326.0,765.0,300.0,2.6827,5.376666666666667,2.55,0.20210787352758836,1,0,0,0
18750,1.0,-122.4,40.71,22.0,2390.0,484.0,1131.0,452.0,2.1458,5.287610619469026,2.502212389380531,0.20251046025104602,1,0,0,0
14163,1.0,-117.06,32.77,18.0,2269.0,682.0,1329.0,581.0,1.7951,3.9053356282271947,2.287435456110155,0.3005729396209784,0,0,0,1
5380,1.0,-118.4,34.03,24.0,1101.0,318.0,491.0,287.0,3.2222,3.836236933797909,1.710801393728223,0.2888283378746594,0,0,0,0
859,1.0,-121.97,37.57,21.0,4342.0,783.0,2172.0,789.0,4.6146,5.503168567807351,2.752851711026616,0.1803316444035007,0,0,0,0
10891,1.0,-117.86,33.72,31.0,1194.0,297.0,1602.0,306.0,2.3333,3.9019607843137254,5.235294117647059,0.24874371859296482,0,0,0,0
20151,1.0,-119.23,34.44,34.0,3193.0,664.0,1434.0,627.0,2.4777,5.092503987240829,2.287081339712919,0.2079549013466959,0,0,0,0
19180,1.0,-122.58,38.46,15.0,2936.0,517.0,1182.0,501.0,3.3981,5.860279441117765,2.3592814371257487,0.1760899182561308,0,0,0,0
1633,1.0,-122.22,37.88,20.0,95.0,13.0,31.0,15.0,2.4444,6.333333333333333,2.066666666666667,0.1368421052631579,0,0,1,0
152,1.0,-122.23,37.8,52.0,2033.0,486.0,787.0,459.0,3.1603,4.429193899782135,1.7145969498910676,0.23905558288243975,0,0,1,0
3743,1.0,-118.4,34.16,45.0,1176.0,250.0,471.0,228.0,2.3333,5.157894736842105,2.0657894736842106,0.21258503401360543,0,0,0,0
19525,1.0,-121.0,37.64,52.0,530.0,177.0,325.0,158.0,1.1875,3.3544303797468356,2.0569620253164556,0.3339622641509434,1,0,0,0
7413,1.0,-118.23,33.96,42.0,1977.0,570.0,2406.0,557.0,2.5913,3.5493716337522443,4.3195691202872535,0.2883156297420334,0,0,0,0
3166,1.0,-118.91,35.27,29.0,1401.0,317.0,1344.0,306.0,2.0921,4.578431372549019,4.392156862745098,0.22626695217701642,1,0,0,0
13399,1.0,-117.42,34.13,4.0,11587.0,1796.0,5804.0,1705.0,4.8283,6.795894428152493,3.4041055718475075,0.15500129455424183,1,0,0,0
12511,1.0,-121.43,38.55,44.0,3514.0,714.0,1509.0,656.0,2.7333,5.3567073170731705,2.3003048780487805,0.20318725099601595,1,0,0,0
15297,1.0,-117.35,33.16,22.0,1331.0,305.0,580.0,193.0,3.975,6.896373056994818,3.005181347150259,0.22915101427498122,0,0,0,1
11456,1.0,-118.0,33.66,25.0,4041.0,903.0,1689.0,784.0,4.2289,5.154336734693878,2.1543367346938775,0.22345953971789162,0,0,0,1
10257,1.0,-117.86,33.87,12.0,1600.0,251.0,685.0,256.0,5.1784,6.25,2.67578125,0.156875,0,0,0,0
6079,1.0,-117.85,34.09,16.0,4556.0,639.0,2066.0,651.0,6.4667,6.998463901689708,3.17357910906298,0.14025460930640912,0,0,0,0
9645,1.0,-120.87,37.05,29.0,4176.0,779.0,2092.0,741.0,2.595,5.635627530364372,2.823211875843455,0.18654214559386972,1,0,0,0
20030,1.0,-119.03,36.08,19.0,2471.0,431.0,1040.0,426.0,3.25,5.800469483568075,2.4413145539906105,0.1744233104006475,1,0,0,0
1748,1.0,-122.32,37.96,25.0,1728.0,403.0,934.0,412.0,3.375,4.194174757281553,2.266990291262136,0.2332175925925926,0,0,1,0
20060,1.0,-119.26,35.87,24.0,1590.0,390.0,1686.0,372.0,1.6469,4.274193548387097,4.532258064516129,0.24528301886792453,1,0,0,0
15953,1.0,-122.44,37.72,52.0,1380.0,272.0,847.0,284.0,3.7143,4.859154929577465,2.982394366197183,0.19710144927536233,0,0,1,0
11044,1.0,-117.83,33.82,23.0,1100.0,285.0,940.0,267.0,3.6953,4.119850187265918,3.5205992509363297,0.2590909090909091,0,0,0,0
8789,1.0,-118.36,33.8,38.0,2553.0,400.0,1042.0,393.0,6.9742,6.4961832061068705,2.6513994910941476,0.15667841754798276,0,0,0,1
3063,1.0,-119.24,35.68,21.0,1885.0,398.0,1539.0,388.0,2.5208,4.858247422680412,3.966494845360825,0.21114058355437665,1,0,0,0
4777,1.0,-118.33,34.03,33.0,2314.0,624.0,1714.0,582.0,1.7377,3.9759450171821307,2.9450171821305844,0.2696629213483146,0,0,0,0
5071,1.0,-118.31,33.99,49.0,857.0,196.0,694.0,228.0,2.895,3.758771929824561,3.043859649122807,0.22870478413068845,0,0,0,0
4579,1.0,-118.28,34.07,25.0,7522.0,3179.0,7221.0,2902.0,2.0173,2.5920055134390076,2.4882839421088905,0.42262696091465035,0,0,0,0
10494,1.0,-117.69,33.47,13.0,2020.0,378.0,679.0,290.0,5.756,6.9655172413793105,2.3413793103448275,0.18712871287128713,0,0,0,0
7776,1.0,-118.09,33.9,37.0,1112.0,222.0,771.0,224.0,4.2132,4.964285714285714,3.4419642857142856,0.19964028776978418,0,0,0,0
15070,1.0,-116.97,32.79,32.0,1255.0,338.0,782.0,302.0,2.6635,4.155629139072848,2.589403973509934,0.2693227091633466,0,0,0,0
12633,1.0,-121.49,38.49,26.0,4629.0,832.0,2902.0,816.0,2.735,5.672794117647059,3.5563725490196076,0.17973644415640527,1,0,0,0
