,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity
9619,-122.95,40.67,17.0,1498.0,331.0,574.0,242.0,2.0268,INLAND
19677,-121.31,38.0,35.0,2097.0,351.0,977.0,358.0,4.3958,INLAND
1164,-117.89,33.76,36.0,2656.0,572.0,2370.0,571.0,3.8056,<1H OCEAN
19612,-118.24,33.93,37.0,1027.0,258.0,824.0,248.0,1.5132,<1H OCEAN
7044,-118.57,34.15,22.0,5791.0,706.0,2059.0,673.0,10.9201,<1H OCEAN
1097,-118.52,34.18,34.0,2307.0,388.0,1168.0,427.0,4.2143,<1H OCEAN
7728,-120.07,36.74,19.0,2627.0,502.0,1295.0,441.0,3.087,INLAND
19080,-117.9,33.9,18.0,3821.0,576.0,1430.0,568.0,6.9399,<1H OCEAN
18440,-118.03,33.78,25.0,3554.0,528.0,1600.0,537.0,6.6453,<1H OCEAN
13491,-118.38,34.21,38.0,1363.0,395.0,1798.0,405.0,2.3182,<1H OCEAN
16138,-119.76,36.8,20.0,6257.0,1346.0,2795.0,1267.0,2.2094,INLAND
6503,-119.68,36.63,39.0,1237.0,256.0,638.0,239.0,3.0139,INLAND
17781,-122.19,37.78,52.0,2492.0,415.0,1109.0,375.0,4.3125,NEAR BAY
11679,-118.08,34.0,35.0,1188.0,342.0,1373.0,332.0,2.9107,<1H OCEAN
15071,-122.04,37.61,36.0,1151.0,216.0,727.0,215.0,4.1719,NEAR BAY
7012,-118.06,33.99,46.0,1203.0,219.0,637.0,211.0,3.3611,<1H OCEAN
17717,-121.08,39.18,19.0,2323.0,397.0,963.0,379.0,3.7426,INLAND
13739,-120.19,38.03,17.0,8651.0,1579.0,2071.0,757.0,3.1076,INLAND
1202,-123.34,39.39,18.0,2821.0,628.0,1636.0,615.0,2.3333,<1H OCEAN
7555,-121.37,38.57,16.0,3895.0,896.0,1762.0,855.0,2.6635,INLAND
2518,-117.94,34.05,34.0,1519.0,304.0,1262.0,300.0,3.3409,<1H OCEAN
9958,-118.11,33.84,36.0,1523.0,263.0,717.0,278.0,4.875,<1H OCEAN
14282,-123.35,39.4,27.0,1321.0,338.0,779.0,327.0,1.85,<1H OCEAN
14266,-118.32,34.1,52.0,786.0,270.0,756.0,273.0,2.2311,<1H OCEAN
18767,-118.45,34.02,45.0,1230.0,201.0,565.0,219.0,6.3521,<1H OCEAN
7964,-118.34,34.1,29.0,3193.0,1452.0,2039.0,1265.0,1.8209,<1H OCEAN
8321,-117.23,33.22,18.0,2334.0,573.0,962.0,557.0,1.808,<1H OCEAN
12222,-122.27,37.85,52.0,335.0,83.0,152.0,77.0,2.2841,NEAR BAY
15568,-122.25,37.8,29.0,2468.0,864.0,1335.0,773.0,1.3929,NEAR BAY
4809,-122.13,38.26,40.0,1538.0,255.0,669.0,263.0,3.3281,NEAR BAY
3752,-121.02,37.61,33.0,1469.0,370.0,1318.0,349.0,1.7104,INLAND
3716,-119.04,34.22,18.0,3117.0,583.0,2079.0,545.0,4.6458,<1H OCEAN
8143,-119.01,35.37,38.0,1702.0,380.0,1191.0,366.0,1.8801,INLAND
20611,-121.55,39.1,27.0,1783.0,441.0,1163.0,409.0,1.2857,INLAND
17087,-117.02,33.76,20.0,1317.0,203.0,453.0,158.0,2.8393,INLAND
281,-117.61,34.34,18.0,5210.0,912.0,1301.0,464.0,4.8623,INLAND
5297,-122.14,37.45,48.0,2074.0,297.0,700.0,279.0,8.7051,NEAR BAY
20435,-121.4,38.59,18.0,2614.0,624.0,1181.0,616.0,2.0432,INLAND
9032,-117.97,33.77,22.0,2244.0,575.0,1543.0,533.0,2.6618,<1H OCEAN
10138,-122.19,37.8,52.0,1813.0,271.0,637.0,277.0,4.0114,NEAR BAY
9967,-119.02,35.34,35.0,1650.0,390.0,1145.0,343.0,1.5357,INLAND
17291,-118.2,33.94,45.0,1818.0,408.0,1705.0,373.0,4.0441,<1H OCEAN
18001,-118.3,34.0,52.0,1718.0,354.0,1026.0,312.0,2.0,<1H OCEAN
4418,-117.17,32.71,7.0,2493.0,693.0,951.0,641.0,4.2375,NEAR OCEAN
1170,-118.03,34.08,37.0,775.0,179.0,726.0,183.0,3.25,INLAND
5195,-117.07,32.57,17.0,2961.0,634.0,1911.0,615.0,2.5859,NEAR OCEAN
7477,-118.97,35.38,35.0,1673.0,426.0,1041.0,413.0,1.375,INLAND
3195,-118.19,33.83,43.0,2641.0,411.0,1011.0,444.0,6.4468,NEAR OCEAN
18643,-118.09,34.17,36.0,2875.0,552.0,1131.0,458.0,4.3083,INLAND
9837,-120.68,35.51,17.0,1701.0,298.0,941.0,293.0,4.3218,<1H OCEAN
19623,-121.42,38.65,21.0,2274.0,495.0,1157.0,445.0,2.098,INLAND
19956,-119.16,34.23,26.0,5444.0,1293.0,3700.0,1158.0,2.7556,NEAR OCEAN
19772,-122.13,37.43,40.0,3454.0,648.0,1498.0,647.0,5.2114,NEAR BAY
354,-122.45,37.72,52.0,982.0,197.0,653.0,171.0,4.2167,NEAR BAY
12928,-117.99,33.82,33.0,2342.0,475.0,1367.0,509.0,4.1167,<1H OCEAN
19308,-118.62,34.19,35.0,1934.0,307.0,905.0,315.0,5.5101,<1H OCEAN
4209,-122.08,37.9,32.0,1075.0,170.0,486.0,173.0,5.0499,NEAR BAY
8441,-119.91,34.4,24.0,2001.0,365.0,1170.0,330.0,6.0992,NEAR OCEAN
4781,-116.57,33.84,18.0,7962.0,1652.0,2009.0,921.0,3.3897,INLAND
13490,-117.06,32.71,21.0,1864.0,388.0,1498.0,389.0,3.8194,NEAR OCEAN
10135,-122.28,38.22,42.0,106.0,18.0,40.0,25.0,7.5197,NEAR BAY
13711,-118.42,34.05,52.0,2533.0,402.0,981.0,386.0,7.8164,<1H OCEAN
3048,-117.9,33.61,44.0,1469.0,312.0,507.0,266.0,3.4937,<1H OCEAN
13626,-119.63,36.6,33.0,1589.0,294.0,1102.0,307.0,1.9676,INLAND
12491,-122.48,38.48,29.0,2278.0,397.0,765.0,322.0,4.6379,INLAND
16740,-118.11,34.68,6.0,7430.0,1184.0,3489.0,1115.0,5.3267,INLAND
12761,-121.58,37.01,44.0,3192.0,565.0,1439.0,568.0,4.3693,INLAND
9768,-118.26,33.85,25.0,2324.0,326.0,1087.0,328.0,5.293,<1H OCEAN
18651,-121.98,37.34,33.0,3570.0,776.0,1922.0,761.0,4.9562,<1H OCEAN
14929,-122.2,40.26,15.0,2102.0,358.0,957.0,371.0,3.1908,INLAND
13686,-115.57,32.8,16.0,2276.0,594.0,1184.0,513.0,1.875,INLAND
15951,-117.72,34.09,33.0,4979.0,934.0,2575.0,874.0,3.7958,INLAND
18786,-117.91,33.91,32.0,1530.0,301.0,666.0,276.0,4.125,<1H OCEAN
10782,-122.38,37.71,47.0,1088.0,190.0,558.0,166.0,4.2708,NEAR BAY
7335,-118.11,34.06,18.0,2609.0,721.0,2221.0,703.0,2.3224,<1H OCEAN
19905,-122.42,37.74,52.0,2019.0,418.0,999.0,448.0,4.2212,NEAR BAY
13420,-117.65,34.02,9.0,2107.0,411.0,1138.0,389.0,4.4042,INLAND
7030,-118.17,33.87,49.0,1937.0,445.0,1339.0,440.0,3.0319,<1H OCEAN
14892,-117.9,33.88,35.0,2062.0,353.0,991.0,357.0,5.2897,<1H OCEAN
19299,-121.53,38.56,39.0,2438.0,483.0,1103.0,472.0,2.9375,INLAND
17416,-122.09,37.41,18.0,1476.0,473.0,838.0,415.0,3.575,NEAR BAY
20519,-121.82,37.27,16.0,2030.0,321.0,1343.0,365.0,6.3566,<1H OCEAN
8957,-123.83,41.88,18.0,1504.0,357.0,660.0,258.0,3.13,<1H OCEAN
4759,-118.16,34.09,52.0,1722.0,448.0,1122.0,425.0,3.1204,<1H OCEAN
6364,-118.45,34.18,22.0,2516.0,826.0,3350.0,713.0,2.0192,<1H OCEAN
4459,-120.56,35.07,14.0,6788.0,1216.0,2866.0,1036.0,3.3603,<1H OCEAN
7451,-119.8,34.44,27.0,2674.0,419.0,1176.0,416.0,5.0294,NEAR OCEAN
10809,-117.69,34.07,34.0,4055.0,739.0,2470.0,753.0,3.8586,INLAND
10098,-118.05,33.98,41.0,1694.0,413.0,1222.0,387.0,2.8311,<1H OCEAN
19603,-118.42,34.12,27.0,2089.0,303.0,654.0,270.0,12.3767,<1H OCEAN
8354,-119.77,36.73,44.0,1960.0,393.0,1286.0,381.0,2.1518,INLAND
17106,-122.41,37.76,52.0,2479.0,515.0,1816.0,496.0,3.0774,NEAR BAY
17498,-117.05,32.77,23.0,2556.0,662.0,1200.0,548.0,1.8899,NEAR OCEAN
11913,-119.05,35.42,35.0,2353.0,483.0,1368.0,455.0,2.325,INLAND
13630,-117.38,33.19,26.0,4123.0,1145.0,1703.0,895.0,1.9891,NEAR OCEAN
6802,-117.33,34.12,38.0,1703.0,385.0,1356.0,363.0,2.0391,INLAND
6716,-121.46,38.49,15.0,10211.0,1995.0,5656.0,1752.0,2.575,INLAND
16954,-121.92,36.62,52.0,867.0,199.0,391.0,187.0,2.6713,NEAR OCEAN
8678,-122.23,37.81,52.0,1433.0,229.0,612.0,213.0,4.7708,NEAR BAY
16255,-118.26,34.07,46.0,2341.0,703.0,2371.0,648.0,2.4038,<1H OCEAN
12187,-117.2,33.72,8.0,5528.0,1073.0,1674.0,918.0,2.5335,<1H OCEAN
13678,-121.76,37.33,5.0,4153.0,719.0,2435.0,697.0,5.6306,<1H OCEAN
3268,-116.58,33.09,36.0,992.0,224.0,334.0,126.0,3.0089,INLAND
656,-119.83,36.79,35.0,1872.0,363.0,1054.0,369.0,3.3272,INLAND
11991,-117.24,32.75,36.0,1856.0,475.0,822.0,416.0,2.3042,NEAR OCEAN
12022,-121.29,38.68,12.0,5098.0,1094.0,2029.0,1065.0,3.5444,INLAND
9045,-122.34,37.99,42.0,1531.0,326.0,1271.0,377.0,2.6167,NEAR BAY
16247,-122.35,37.96,36.0,2191.0,531.0,1563.0,524.0,2.5164,NEAR BAY
16967,-119.32,36.25,21.0,1231.0,,609.0,206.0,2.8365,INLAND
9545,-121.6,37.91,13.0,2479.0,394.0,1075.0,350.0,5.1017,INLAND
18657,-117.23,34.51,9.0,5756.0,807.0,2158.0,758.0,5.5875,INLAND
3517,-120.76,38.47,17.0,1521.0,309.0,607.0,240.0,3.5,INLAND
11423,-122.04,36.96,32.0,1438.0,306.0,802.0,293.0,4.1964,NEAR OCEAN
17026,-118.07,33.8,34.0,3486.0,507.0,1311.0,503.0,7.1221,<1H OCEAN
17859,-117.89,34.1,35.0,3185.0,544.0,1858.0,564.0,3.8304,<1H OCEAN
2107,-117.02,32.66,19.0,771.0,,376.0,108.0,6.6272,NEAR OCEAN
19125,-120.76,37.73,16.0,1343.0,241.0,732.0,195.0,3.5833,INLAND
9739,-121.9,38.01,16.0,2604.0,454.0,1696.0,481.0,4.6628,INLAND
17874,-118.29,34.04,41.0,659.0,291.0,1224.0,290.0,2.0817,<1H OCEAN
10909,-122.13,37.45,37.0,1287.0,197.0,510.0,206.0,7.9029,NEAR BAY
18996,-122.25,37.49,40.0,2709.0,521.0,1156.0,510.0,4.6366,NEAR OCEAN
12868,-120.54,34.97,23.0,1353.0,345.0,1322.0,336.0,1.8185,<1H OCEAN
18193,-119.73,36.74,14.0,6202.0,1551.0,5561.0,1435.0,1.6073,INLAND
4051,-121.82,37.36,34.0,1834.0,377.0,1450.0,347.0,3.7188,<1H OCEAN
3934,-121.36,39.52,15.0,2490.0,527.0,1229.0,497.0,2.3917,INLAND
19912,-121.42,37.76,18.0,5501.0,1051.0,2964.0,1009.0,4.1855,INLAND
226,-122.0,38.35,24.0,745.0,116.0,300.0,115.0,3.6176,INLAND
19133,-118.8,34.27,12.0,3330.0,600.0,1577.0,584.0,4.6985,<1H OCEAN
4318,-118.01,34.11,32.0,1978.0,536.0,826.0,470.0,2.5114,INLAND
20409,-117.67,33.44,25.0,2994.0,519.0,903.0,410.0,6.6852,<1H OCEAN
18287,-118.06,33.86,16.0,5603.0,938.0,3045.0,893.0,5.0778,<1H OCEAN
1987,-119.14,34.15,25.0,2202.0,390.0,1415.0,412.0,4.43,NEAR OCEAN
10576,-124.17,40.75,13.0,2171.0,339.0,951.0,353.0,4.8516,NEAR OCEAN
16817,-117.92,33.64,24.0,2539.0,695.0,1623.0,611.0,3.0708,<1H OCEAN
1293,-121.62,39.75,20.0,1173.0,261.0,523.0,258.0,1.0625,INLAND
488,-121.04,37.68,28.0,1909.0,398.0,1140.0,380.0,2.3783,INLAND
636,-118.37,34.22,11.0,2127.0,581.0,1989.0,530.0,2.9028,<1H OCEAN
13645,-116.97,32.78,26.0,8902.0,1413.0,3941.0,1387.0,4.7943,<1H OCEAN
12630,-121.9,37.29,36.0,1389.0,225.0,623.0,223.0,6.6331,<1H OCEAN
16973,-118.19,33.96,28.0,3507.0,969.0,3740.0,970.0,2.0162,<1H OCEAN
19073,-120.98,38.99,17.0,3403.0,661.0,1540.0,622.0,3.6354,INLAND
4745,-122.0,37.3,29.0,3429.0,524.0,1518.0,520.0,7.218,<1H OCEAN
14333,-117.91,33.76,22.0,7531.0,1569.0,5254.0,1523.0,3.8506,<1H OCEAN
14070,-121.89,37.26,26.0,1864.0,331.0,956.0,325.0,5.5,<1H OCEAN
8579,-118.74,34.25,25.0,1815.0,281.0,960.0,284.0,5.4243,<1H OCEAN
6962,-118.58,34.25,23.0,4883.0,769.0,2119.0,725.0,5.521,<1H OCEAN
1662,-118.13,33.83,45.0,3087.0,574.0,1474.0,567.0,5.5196,<1H OCEAN
13823,-118.38,33.77,21.0,11353.0,1537.0,4649.0,1504.0,9.821,NEAR OCEAN
6693,-118.25,34.23,34.0,2421.0,475.0,1232.0,454.0,4.6852,<1H OCEAN
10423,-121.85,38.0,24.0,2269.0,584.0,1239.0,542.0,2.0411,INLAND
8051,-117.99,33.87,17.0,2334.0,537.0,1662.0,535.0,3.0147,<1H OCEAN
6026,-122.46,37.75,52.0,1590.0,236.0,622.0,232.0,5.8151,NEAR BAY
18109,-122.41,37.75,52.0,2515.0,576.0,1209.0,540.0,3.5912,NEAR BAY
14362,-118.0,34.12,37.0,1340.0,325.0,928.0,333.0,3.9219,INLAND
2723,-118.25,34.25,34.0,3150.0,518.0,1392.0,480.0,4.9355,<1H OCEAN
6985,-118.95,35.38,30.0,2594.0,478.0,1419.0,480.0,3.725,INLAND
6839,-122.43,37.79,24.0,2459.0,1001.0,1362.0,957.0,2.6782,NEAR BAY
8192,-117.06,32.76,24.0,1629.0,587.0,1012.0,488.0,1.7452,NEAR OCEAN
5268,-122.02,37.38,32.0,1889.0,487.0,1321.0,508.0,3.2574,<1H OCEAN
15455,-119.25,36.36,16.0,3245.0,469.0,1471.0,450.0,5.8673,INLAND
558,-117.9,34.06,35.0,1313.0,194.0,599.0,209.0,7.5,<1H OCEAN
15724,-118.02,33.96,36.0,2071.0,398.0,988.0,404.0,4.6226,<1H OCEAN
4517,-118.28,34.0,42.0,1534.0,417.0,1295.0,380.0,2.0938,<1H OCEAN
4542,-118.29,34.08,43.0,3056.0,1345.0,3920.0,1304.0,1.925,<1H OCEAN
12792,-119.02,35.42,40.0,1912.0,439.0,1015.0,413.0,1.4598,INLAND
12959,-118.27,34.03,50.0,395.0,232.0,948.0,243.0,1.7546,<1H OCEAN
9343,-117.96,33.8,33.0,2362.0,394.0,1185.0,387.0,4.425,<1H OCEAN
7758,-121.2,39.23,9.0,2802.0,447.0,955.0,418.0,5.2359,INLAND
12198,-118.22,33.97,47.0,1058.0,295.0,1097.0,274.0,2.881,<1H OCEAN
7195,-118.24,33.89,32.0,1132.0,266.0,1211.0,279.0,2.1838,<1H OCEAN
16287,-117.1,32.75,21.0,2063.0,609.0,1686.0,558.0,1.4828,NEAR OCEAN
4076,-119.7,34.43,52.0,1364.0,460.0,804.0,400.0,2.375,<1H OCEAN
18286,-118.46,34.26,36.0,1394.0,254.0,761.0,262.0,4.9485,<1H OCEAN
15838,-118.13,34.16,52.0,1787.0,427.0,1107.0,410.0,2.5664,<1H OCEAN
19911,-118.17,33.89,11.0,3605.0,880.0,3637.0,873.0,2.6328,<1H OCEAN
13334,-117.04,32.79,23.0,2491.0,350.0,863.0,348.0,6.7196,<1H OCEAN
7934,-118.34,34.07,52.0,1621.0,284.0,588.0,272.0,6.2223,<1H OCEAN
2956,-121.1,39.0,16.0,1106.0,195.0,505.0,187.0,5.0126,INLAND
14537,-118.11,33.89,35.0,1139.0,197.0,772.0,233.0,4.375,<1H OCEAN
5037,-118.18,33.82,52.0,2618.0,472.0,943.0,440.0,3.7895,NEAR OCEAN
18622,-117.26,33.0,31.0,2695.0,491.0,1059.0,451.0,4.7841,NEAR OCEAN
6307,-122.54,37.62,35.0,1481.0,277.0,747.0,254.0,4.4286,NEAR OCEAN
3097,-121.48,38.46,8.0,10505.0,1777.0,6002.0,1694.0,4.0516,INLAND
12211,-118.3,34.17,17.0,4041.0,1169.0,3309.0,1117.0,2.6016,<1H OCEAN
16330,-118.15,34.06,28.0,3855.0,922.0,2517.0,874.0,3.505,<1H OCEAN
2698,-118.26,34.23,43.0,1428.0,325.0,836.0,302.0,4.5759,<1H OCEAN
15687,-118.34,33.79,36.0,716.0,123.0,388.0,124.0,5.0254,<1H OCEAN
14231,-122.78,38.41,43.0,1351.0,277.0,1011.0,297.0,2.5917,<1H OCEAN
6254,-120.47,34.94,17.0,1368.0,308.0,642.0,303.0,1.8633,<1H OCEAN
19734,-122.24,38.01,16.0,2084.0,315.0,1154.0,307.0,6.0102,NEAR BAY
17288,-119.12,36.19,21.0,2645.0,464.0,1245.0,407.0,2.9145,INLAND
20387,-117.87,34.13,32.0,1741.0,373.0,872.0,333.0,3.4219,<1H OCEAN
872,-118.1,33.96,40.0,1743.0,328.0,981.0,291.0,3.6667,<1H OCEAN
2711,-118.31,34.01,48.0,2544.0,532.0,1357.0,498.0,2.5263,<1H OCEAN
15820,-118.4,34.02,27.0,515.0,201.0,397.0,228.0,2.4135,<1H OCEAN
12748,-116.99,32.72,11.0,1112.0,164.0,441.0,174.0,4.7679,<1H OCEAN
18476,-117.93,34.06,37.0,1505.0,262.0,798.0,259.0,5.4635,<1H OCEAN
16811,-118.0,33.85,33.0,2053.0,418.0,1154.0,405.0,4.0455,<1H OCEAN
19743,-117.41,33.95,37.0,1462.0,257.0,849.0,287.0,3.0542,INLAND
1154,-117.99,33.79,21.0,2695.0,707.0,1888.0,683.0,3.2857,<1H OCEAN
6185,-117.65,33.42,25.0,2174.0,428.0,603.0,352.0,3.3967,NEAR OCEAN
825,-118.16,33.78,33.0,2048.0,585.0,2074.0,597.0,2.0156,NEAR OCEAN
8930,-117.82,33.78,28.0,4485.0,667.0,2048.0,685.0,5.4562,<1H OCEAN
7599,-122.27,37.9,52.0,2041.0,270.0,671.0,253.0,6.9414,NEAR BAY
14328,-119.38,36.3,14.0,1932.0,330.0,997.0,291.0,3.6875,INLAND
7663,-121.51,38.52,30.0,3236.0,588.0,1167.0,569.0,4.0972,INLAND
10561,-118.36,33.96,25.0,1849.0,518.0,1498.0,451.0,2.8378,<1H OCEAN
14791,-117.3,34.18,19.0,2526.0,381.0,1176.0,381.0,5.5136,INLAND
6079,-118.18,33.94,43.0,2724.0,612.0,2340.0,570.0,2.7,<1H OCEAN
18298,-118.09,33.98,37.0,1270.0,272.0,1092.0,274.0,3.5,<1H OCEAN
11766,-122.32,38.32,19.0,2922.0,417.0,1221.0,442.0,5.8002,NEAR BAY
1050,-122.1,37.97,18.0,4326.0,655.0,1753.0,646.0,5.6931,NEAR BAY
16402,-120.84,37.06,14.0,1506.0,380.0,1096.0,352.0,1.1301,INLAND
20622,-121.44,39.0,20.0,755.0,147.0,457.0,157.0,2.4167,INLAND
1618,-121.52,39.51,30.0,3085.0,610.0,1688.0,575.0,2.334,INLAND
1558,-118.11,33.81,37.0,1694.0,280.0,776.0,271.0,6.2187,<1H OCEAN
4631,-118.2,33.96,41.0,1512.0,400.0,1690.0,367.0,3.055,<1H OCEAN
16848,-117.4,34.0,24.0,2316.0,599.0,1829.0,532.0,1.6955,INLAND
9997,-122.41,37.74,47.0,1728.0,398.0,1178.0,315.0,3.2813,NEAR BAY
19971,-118.36,34.04,45.0,1767.0,417.0,1052.0,379.0,3.5161,<1H OCEAN
13892,-118.39,33.79,30.0,4402.0,563.0,1582.0,551.0,10.898,NEAR OCEAN
6702,-118.46,33.98,32.0,2388.0,591.0,1009.0,556.0,5.2121,<1H OCEAN
8486,-118.24,33.97,38.0,1657.0,467.0,2033.0,443.0,2.1429,<1H OCEAN
16230,-117.05,33.11,18.0,4393.0,642.0,2095.0,677.0,5.4786,<1H OCEAN
5261,-121.47,38.58,52.0,2035.0,483.0,904.0,459.0,2.6976,INLAND
15746,-122.07,37.64,25.0,4524.0,860.0,2426.0,862.0,4.7083,NEAR BAY
4607,-117.86,33.74,9.0,525.0,171.0,1257.0,165.0,3.375,<1H OCEAN
2343,-122.41,37.79,52.0,2302.0,938.0,1515.0,861.0,1.3668,NEAR BAY
10538,-122.28,37.85,48.0,2063.0,484.0,1054.0,466.0,2.2625,NEAR BAY
15789,-118.24,33.9,40.0,1308.0,272.0,901.0,257.0,2.8269,<1H OCEAN
14395,-119.71,36.88,17.0,2236.0,315.0,992.0,312.0,6.9405,INLAND
1177,-118.0,33.71,19.0,4808.0,1029.0,2422.0,971.0,4.0121,<1H OCEAN
956,-116.89,33.79,12.0,701.0,130.0,434.0,110.0,2.0577,INLAND
11509,-118.37,33.91,41.0,1869.0,427.0,1334.0,435.0,3.9355,<1H OCEAN
3908,-122.07,37.71,40.0,1808.0,302.0,746.0,270.0,5.3015,NEAR BAY
17623,-116.95,32.78,20.0,3425.0,448.0,1489.0,443.0,6.2552,<1H OCEAN
4001,-117.98,33.72,28.0,3109.0,561.0,1891.0,562.0,5.2655,<1H OCEAN
17178,-117.6,33.72,36.0,1317.0,228.0,531.0,214.0,5.6346,<1H OCEAN
9441,-117.34,34.12,26.0,1008.0,164.0,568.0,196.0,3.3516,INLAND
14287,-121.33,37.96,42.0,1619.0,340.0,906.0,339.0,2.5488,INLAND
8205,-122.18,39.93,35.0,1387.0,272.0,610.0,237.0,2.1759,INLAND
13610,-118.27,34.11,39.0,3825.0,916.0,1378.0,746.0,4.4094,<1H OCEAN
19207,-117.87,34.12,34.0,1004.0,220.0,772.0,217.0,3.8571,<1H OCEAN
2363,-118.52,34.21,34.0,1663.0,299.0,762.0,282.0,5.1265,<1H OCEAN
1232,-116.88,33.05,11.0,7217.0,1583.0,4197.0,1502.0,2.8827,<1H OCEAN
17332,-121.18,37.64,43.0,1244.0,209.0,611.0,197.0,2.875,INLAND
2347,-118.31,33.9,38.0,1400.0,399.0,1131.0,405.0,3.5417,<1H OCEAN
5001,-115.96,33.3,27.0,322.0,81.0,112.0,57.0,1.125,INLAND
18647,-121.92,36.55,52.0,2616.0,483.0,582.0,313.0,3.275,NEAR OCEAN
8481,-122.31,38.34,19.0,4187.0,684.0,1827.0,605.0,4.5293,NEAR BAY
10565,-115.52,32.97,10.0,1879.0,387.0,1376.0,337.0,1.9911,INLAND
17024,-122.41,37.8,52.0,1724.0,416.0,1016.0,395.0,3.3839,NEAR BAY
3270,-122.15,37.41,29.0,473.0,103.0,359.0,87.0,7.0309,NEAR BAY
16770,-122.17,40.11,24.0,1631.0,340.0,1042.0,333.0,1.7708,INLAND
3511,-122.46,37.88,35.0,2492.0,409.0,812.0,373.0,8.8386,NEAR BAY
15431,-118.47,34.05,22.0,5215.0,1193.0,2048.0,1121.0,4.7009,<1H OCEAN
15200,-117.19,33.53,6.0,108.0,18.0,43.0,17.0,3.475,<1H OCEAN
1102,-117.35,34.01,23.0,3707.0,769.0,1938.0,658.0,2.725,INLAND
5944,-118.15,33.92,40.0,1335.0,281.0,804.0,282.0,4.3194,<1H OCEAN
10698,-119.93,37.85,18.0,473.0,115.0,88.0,41.0,4.0833,INLAND
9043,-118.5,34.05,39.0,1487.0,163.0,414.0,160.0,15.0,<1H OCEAN
3831,-120.46,38.15,16.0,4221.0,781.0,1516.0,697.0,2.3816,INLAND
11869,-118.4,33.87,40.0,1679.0,372.0,719.0,385.0,6.435,<1H OCEAN
4358,-119.82,36.72,25.0,2581.0,528.0,1642.0,509.0,1.6435,INLAND
6275,-117.22,32.75,26.0,696.0,185.0,384.0,184.0,2.6121,NEAR OCEAN
20470,-118.29,33.95,35.0,1401.0,362.0,1357.0,327.0,2.0917,<1H OCEAN
16583,-121.79,37.03,18.0,943.0,213.0,544.0,179.0,3.934,<1H OCEAN
15856,-117.06,32.68,41.0,2665.0,515.0,1664.0,512.0,2.375,NEAR OCEAN
12295,-118.1,33.84,36.0,690.0,109.0,316.0,104.0,3.7813,<1H OCEAN
7684,-118.13,34.14,29.0,3559.0,1034.0,1658.0,965.0,3.2643,<1H OCEAN
18959,-118.3,33.77,18.0,3821.0,795.0,2831.0,769.0,2.9571,<1H OCEAN
15339,-118.17,33.96,25.0,2249.0,681.0,2621.0,628.0,2.3,<1H OCEAN
19104,-117.06,32.76,38.0,1549.0,288.0,636.0,278.0,3.2188,NEAR OCEAN
17432,-118.51,34.24,31.0,5297.0,664.0,1986.0,657.0,8.6454,<1H OCEAN
11330,-117.55,33.94,30.0,5398.0,926.0,2672.0,864.0,4.4762,INLAND
12490,-122.48,37.78,52.0,2666.0,515.0,1362.0,494.0,4.218,NEAR BAY
19194,-116.51,33.96,16.0,4913.0,1395.0,2518.0,1132.0,1.4665,INLAND
2525,-122.62,38.73,21.0,1425.0,323.0,727.0,287.0,2.1474,INLAND
10200,-121.91,36.62,52.0,1431.0,300.0,657.0,293.0,3.2865,<1H OCEAN
4401,-117.14,32.92,6.0,3069.0,750.0,1541.0,736.0,3.814,<1H OCEAN
17263,-119.03,35.4,35.0,2608.0,620.0,1566.0,583.0,2.1818,INLAND
12392,-117.0,33.74,8.0,5330.0,1529.0,2143.0,1107.0,2.1103,INLAND
5845,-118.26,33.95,44.0,1481.0,329.0,999.0,315.0,1.5147,<1H OCEAN
13940,-122.05,37.95,20.0,563.0,107.0,246.0,123.0,5.4482,NEAR BAY
3399,-121.33,38.6,25.0,4260.0,607.0,1635.0,640.0,6.2817,INLAND
6459,-117.22,34.07,8.0,3065.0,692.0,1440.0,666.0,3.2368,INLAND
3274,-118.12,33.85,37.0,2584.0,453.0,1333.0,481.0,4.3661,<1H OCEAN
1571,-117.12,32.96,16.0,3050.0,559.0,1444.0,512.0,5.2463,<1H OCEAN
15306,-118.07,34.14,42.0,3200.0,685.0,1668.0,628.0,3.375,INLAND
9532,-119.7,34.41,19.0,1215.0,360.0,1349.0,423.0,2.6607,NEAR OCEAN
11984,-119.66,36.33,16.0,2048.0,373.0,1052.0,388.0,4.0909,INLAND
9025,-117.82,33.82,22.0,3173.0,372.0,1181.0,355.0,8.3637,<1H OCEAN
1994,-117.78,33.71,4.0,974.0,232.0,428.0,203.0,4.6141,<1H OCEAN
3946,-118.17,33.84,45.0,1533.0,331.0,791.0,335.0,3.4605,<1H OCEAN
18961,-118.38,33.98,25.0,7105.0,1012.0,2519.0,1004.0,6.8112,<1H OCEAN
918,-121.33,38.7,15.0,2226.0,421.0,1004.0,417.0,2.7868,INLAND
11358,-121.03,37.65,37.0,375.0,58.0,120.0,37.0,3.9844,INLAND
11826,-118.56,34.42,2.0,966.0,270.0,233.0,169.0,1.9667,<1H OCEAN
5772,-122.49,37.68,35.0,2405.0,461.0,1583.0,471.0,5.0659,NEAR OCEAN
17338,-119.9,36.2,43.0,187.0,38.0,106.0,40.0,1.875,INLAND
10938,-117.1,32.56,16.0,2687.0,501.0,1502.0,480.0,3.75,NEAR OCEAN
17608,-117.75,34.06,52.0,1171.0,318.0,1126.0,276.0,1.9762,INLAND
