"","age","balance","campaign","contact","day","default","duration","education","housing","job","loan","marital","month","pdays","poutcome","previous","y"
"3764",24,142,1,"unknown",16,"no",300,"secondary","yes","blue-collar","yes","married","may",-1,"unknown",0,"no"
"3767",59,646,1,"unknown",16,"no",140,"primary","yes","retired","no","married","may",-1,"unknown",0,"no"
"3768",40,739,1,"unknown",16,"no",132,"secondary","yes","admin.","no","single","may",-1,"unknown",0,"no"
"3770",33,58,2,"unknown",16,"no",144,"secondary","no","blue-collar","no","married","may",-1,"unknown",0,"no"
"3771",29,163,1,"unknown",16,"no",803,"secondary","yes","admin.","yes","single","may",-1,"unknown",0,"yes"
"3772",39,385,4,"unknown",16,"no",225,"primary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"3775",35,-613,1,"unknown",16,"no",754,"secondary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"3778",30,-306,1,"unknown",16,"no",203,"secondary","yes","technician","yes","married","may",-1,"unknown",0,"no"
"3781",26,241,1,"unknown",16,"no",136,"secondary","yes","blue-collar","no","divorced","may",-1,"unknown",0,"no"
"3784",36,705,1,"unknown",16,"no",111,"tertiary","yes","technician","no","single","may",-1,"unknown",0,"no"
"3785",32,23,1,"unknown",16,"no",77,"secondary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"3786",47,380,6,"unknown",16,"no",268,"secondary","yes","blue-collar","no","divorced","may",-1,"unknown",0,"no"
"3787",29,4574,2,"unknown",16,"no",217,"secondary","yes","blue-collar","no","single","may",-1,"unknown",0,"no"
"3788",36,183,1,"unknown",16,"no",360,"tertiary","yes","technician","no","married","may",-1,"unknown",0,"no"
"3789",33,272,3,"unknown",16,"no",122,"secondary","yes","blue-collar","no","single","may",-1,"unknown",0,"no"
"3790",57,4168,1,"unknown",16,"no",47,"secondary","yes","admin.","yes","married","may",-1,"unknown",0,"no"
"3792",59,174,1,"unknown",16,"no",204,"secondary","yes","admin.","no","divorced","may",-1,"unknown",0,"no"
"3793",32,1877,1,"unknown",16,"no",601,"primary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"3795",25,109,1,"unknown",16,"no",306,"secondary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"3796",30,194,1,"unknown",16,"no",410,"unknown","yes","blue-collar","no","single","may",-1,"unknown",0,"no"
"3798",30,40,2,"unknown",16,"no",108,"secondary","yes","admin.","yes","married","may",-1,"unknown",0,"no"
"3799",45,-1400,4,"unknown",16,"no",172,"secondary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"3801",25,1400,1,"unknown",16,"no",424,"secondary","yes","technician","yes","single","may",-1,"unknown",0,"no"
"3802",28,507,1,"unknown",16,"no",359,"primary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"3803",30,75,1,"unknown",16,"no",123,"secondary","yes","blue-collar","no","single","may",-1,"unknown",0,"no"
"3805",27,1742,1,"unknown",16,"no",787,"secondary","yes","technician","no","single","may",-1,"unknown",0,"yes"
"3806",32,1197,1,"unknown",16,"no",241,"secondary","yes","blue-collar","yes","married","may",-1,"unknown",0,"no"
"3807",32,12269,1,"unknown",16,"no",141,"tertiary","no","self-employed","no","single","may",-1,"unknown",0,"no"
"3808",40,1126,4,"unknown",16,"no",22,"tertiary","yes","self-employed","no","married","may",-1,"unknown",0,"no"
"3811",37,117,3,"unknown",16,"no",196,"primary","yes","blue-collar","no","single","may",-1,"unknown",0,"no"
"3812",22,118,1,"unknown",16,"no",270,"secondary","yes","admin.","no","single","may",-1,"unknown",0,"no"
"3814",30,299,17,"unknown",16,"no",679,"secondary","yes","self-employed","no","single","may",-1,"unknown",0,"no"
"3816",31,5,1,"unknown",16,"no",102,"secondary","no","admin.","no","married","may",-1,"unknown",0,"no"
"3817",26,65,3,"unknown",16,"no",161,"secondary","no","blue-collar","no","single","may",-1,"unknown",0,"no"
"3820",37,49,2,"unknown",16,"no",619,"secondary","yes","services","no","divorced","may",-1,"unknown",0,"yes"
"3822",38,113,2,"unknown",16,"no",27,"primary","yes","unemployed","no","married","may",-1,"unknown",0,"no"
"3823",27,554,1,"unknown",16,"no",131,"secondary","yes","entrepreneur","no","married","may",-1,"unknown",0,"no"
"3828",43,452,2,"unknown",16,"no",107,"secondary","yes","management","no","married","may",-1,"unknown",0,"no"
"3829",38,467,1,"unknown",16,"no",379,"primary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"3830",40,1758,3,"unknown",16,"no",1230,"primary","yes","blue-collar","no","married","may",-1,"unknown",0,"yes"
"3831",33,-416,2,"unknown",16,"no",767,"secondary","yes","blue-collar","no","single","may",-1,"unknown",0,"yes"
"3832",35,523,1,"unknown",16,"no",95,"secondary","yes","technician","yes","married","may",-1,"unknown",0,"no"
"3834",30,236,1,"unknown",16,"no",197,"tertiary","yes","technician","no","single","may",-1,"unknown",0,"no"
"3837",45,876,1,"unknown",16,"no",178,"tertiary","no","management","no","married","may",-1,"unknown",0,"no"
"3838",45,1163,1,"unknown",16,"no",230,"primary","no","blue-collar","no","married","may",-1,"unknown",0,"no"
"3840",34,586,2,"unknown",16,"no",489,"tertiary","yes","technician","no","single","may",-1,"unknown",0,"no"
"3841",24,656,1,"unknown",16,"no",894,"primary","yes","blue-collar","no","married","may",-1,"unknown",0,"yes"
"3843",55,571,4,"unknown",16,"no",323,"primary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"3844",52,36,1,"unknown",16,"no",335,"secondary","yes","technician","no","single","may",-1,"unknown",0,"no"
"3845",54,0,1,"unknown",16,"no",161,"secondary","yes","technician","no","divorced","may",-1,"unknown",0,"no"
"3847",23,91,2,"unknown",16,"no",374,"secondary","yes","services","no","single","may",-1,"unknown",0,"no"
"3849",59,169,3,"unknown",16,"no",181,"secondary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"3851",40,2073,2,"unknown",16,"no",166,"secondary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"3853",35,53,2,"unknown",16,"no",258,"secondary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"3854",56,82,1,"unknown",16,"no",215,"primary","no","housemaid","no","married","may",-1,"unknown",0,"no"
"3856",32,916,2,"unknown",16,"no",381,"secondary","yes","management","no","single","may",-1,"unknown",0,"no"
"3857",40,37,1,"unknown",16,"no",412,"tertiary","yes","management","no","divorced","may",-1,"unknown",0,"no"
"3858",32,100,2,"unknown",16,"no",376,"primary","yes","blue-collar","no","single","may",-1,"unknown",0,"no"
"3859",41,124,2,"unknown",16,"no",393,"primary","yes","services","no","married","may",-1,"unknown",0,"no"
"3862",58,906,3,"unknown",16,"no",155,"secondary","yes","technician","yes","divorced","may",-1,"unknown",0,"no"
"3863",29,0,4,"unknown",16,"no",703,"tertiary","yes","unemployed","yes","single","may",-1,"unknown",0,"no"
"3864",44,532,2,"unknown",16,"no",141,"unknown","no","blue-collar","no","divorced","may",-1,"unknown",0,"no"
"3865",53,634,2,"unknown",16,"no",475,"primary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"3866",44,0,2,"unknown",16,"no",471,"secondary","yes","services","yes","married","may",-1,"unknown",0,"no"
"3868",44,0,1,"unknown",16,"no",159,"secondary","yes","admin.","yes","married","may",-1,"unknown",0,"no"
"3871",44,73,1,"unknown",16,"no",404,"secondary","yes","admin.","no","married","may",-1,"unknown",0,"no"
"3872",45,636,4,"unknown",16,"no",287,"secondary","yes","blue-collar","no","single","may",-1,"unknown",0,"no"
"3873",30,132,1,"unknown",16,"no",329,"secondary","yes","blue-collar","no","single","may",-1,"unknown",0,"no"
"3874",47,282,1,"unknown",16,"no",433,"tertiary","yes","technician","no","married","may",-1,"unknown",0,"no"
"3875",54,3343,1,"unknown",16,"no",216,"primary","yes","entrepreneur","yes","married","may",-1,"unknown",0,"no"
"3876",29,-166,2,"unknown",16,"no",323,"secondary","yes","technician","no","single","may",-1,"unknown",0,"no"
"3878",32,29,13,"unknown",16,"no",132,"secondary","no","blue-collar","no","single","may",-1,"unknown",0,"no"
"3879",57,-524,4,"unknown",16,"yes",199,"tertiary","yes","entrepreneur","no","married","may",-1,"unknown",0,"no"
"3880",51,1194,3,"unknown",16,"no",558,"primary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"3882",27,3706,1,"unknown",16,"no",897,"tertiary","yes","technician","no","single","may",-1,"unknown",0,"yes"
"3884",53,31,2,"unknown",16,"no",90,"secondary","yes","technician","no","married","may",-1,"unknown",0,"no"
"3886",28,103,2,"unknown",16,"no",461,"tertiary","yes","management","no","married","may",-1,"unknown",0,"no"
"3887",27,-308,16,"unknown",16,"yes",213,"tertiary","yes","management","no","single","may",-1,"unknown",0,"no"
"3888",49,16,11,"unknown",16,"no",193,"secondary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"3891",56,4391,1,"unknown",16,"no",291,"unknown","yes","retired","no","married","may",-1,"unknown",0,"no"
"3892",34,85,1,"unknown",16,"no",136,"primary","no","blue-collar","no","single","may",-1,"unknown",0,"no"
"3896",47,242,4,"unknown",16,"no",214,"primary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"3897",33,64,3,"unknown",16,"no",239,"secondary","no","blue-collar","no","married","may",-1,"unknown",0,"no"
"3898",47,2597,1,"unknown",16,"no",323,"secondary","yes","services","no","married","may",-1,"unknown",0,"no"
"3901",30,122,1,"unknown",16,"no",107,"secondary","yes","admin.","no","married","may",-1,"unknown",0,"no"
"3904",56,4166,1,"unknown",16,"no",378,"secondary","yes","retired","no","divorced","may",-1,"unknown",0,"no"
"3905",40,6110,1,"unknown",16,"no",217,"primary","yes","technician","no","married","may",-1,"unknown",0,"no"
"3908",60,458,1,"unknown",16,"no",103,"primary","yes","retired","no","married","may",-1,"unknown",0,"no"
"3909",34,641,1,"unknown",16,"no",467,"secondary","yes","admin.","yes","married","may",-1,"unknown",0,"no"
"3910",44,1310,1,"unknown",16,"no",290,"secondary","yes","self-employed","no","married","may",-1,"unknown",0,"no"
"3913",55,-45,7,"unknown",16,"no",764,"unknown","yes","services","no","married","may",-1,"unknown",0,"no"
"3914",60,36,3,"unknown",16,"no",194,"tertiary","yes","management","no","married","may",-1,"unknown",0,"no"
"3916",30,136,5,"unknown",16,"no",208,"tertiary","yes","services","yes","single","may",-1,"unknown",0,"no"
"3918",37,934,3,"unknown",16,"no",242,"secondary","yes","services","no","single","may",-1,"unknown",0,"no"
"3919",42,314,2,"unknown",16,"no",269,"secondary","yes","blue-collar","yes","married","may",-1,"unknown",0,"no"
"3920",34,978,2,"unknown",16,"no",370,"secondary","yes","technician","no","married","may",-1,"unknown",0,"no"
"3923",45,4537,2,"unknown",16,"no",337,"tertiary","yes","technician","no","single","may",-1,"unknown",0,"no"
"3924",50,318,2,"unknown",16,"no",788,"tertiary","yes","management","no","divorced","may",-1,"unknown",0,"no"
"3925",43,17,4,"unknown",16,"no",353,"secondary","yes","technician","no","married","may",-1,"unknown",0,"no"
"3927",55,1464,1,"unknown",16,"no",92,"tertiary","yes","management","no","single","may",-1,"unknown",0,"no"
"3928",40,-61,9,"unknown",16,"no",698,"secondary","yes","services","yes","single","may",-1,"unknown",0,"no"
"3929",56,1297,1,"unknown",16,"no",180,"tertiary","yes","entrepreneur","no","married","may",-1,"unknown",0,"no"
"3930",21,325,1,"unknown",16,"no",467,"secondary","yes","admin.","no","single","may",-1,"unknown",0,"no"
"3931",27,276,2,"unknown",16,"no",218,"tertiary","no","technician","no","married","may",-1,"unknown",0,"no"
"3932",24,770,1,"unknown",16,"no",233,"secondary","yes","admin.","no","single","may",-1,"unknown",0,"no"
"3933",25,2,2,"unknown",16,"no",304,"secondary","yes","technician","yes","single","may",-1,"unknown",0,"no"
"3934",41,208,3,"unknown",16,"no",315,"primary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"3935",49,495,5,"unknown",16,"no",40,"secondary","yes","unemployed","no","divorced","may",-1,"unknown",0,"no"
"3936",44,2185,1,"unknown",16,"no",698,"tertiary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"3937",42,351,21,"unknown",16,"no",76,"secondary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"3939",48,1155,4,"unknown",16,"no",557,"unknown","yes","services","no","married","may",-1,"unknown",0,"no"
"3940",51,349,3,"unknown",16,"no",97,"secondary","yes","technician","no","married","may",-1,"unknown",0,"no"
"3942",32,244,2,"unknown",16,"no",128,"primary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"3944",29,62,2,"unknown",16,"no",280,"tertiary","yes","services","yes","married","may",-1,"unknown",0,"no"
"3945",49,874,2,"unknown",16,"no",152,"tertiary","yes","technician","no","divorced","may",-1,"unknown",0,"no"
"3949",50,231,4,"unknown",16,"no",171,"primary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"3951",40,192,11,"unknown",16,"no",71,"secondary","yes","management","no","single","may",-1,"unknown",0,"no"
"3952",32,158,4,"unknown",16,"no",84,"primary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"3954",24,366,2,"unknown",16,"no",234,"secondary","no","retired","yes","single","may",-1,"unknown",0,"no"
"3956",36,1125,5,"unknown",16,"no",339,"tertiary","yes","management","yes","married","may",-1,"unknown",0,"no"
"3962",44,2687,4,"unknown",16,"no",131,"secondary","yes","admin.","no","married","may",-1,"unknown",0,"no"
"3964",42,398,4,"unknown",16,"yes",251,"primary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"3968",40,1161,8,"unknown",16,"no",292,"secondary","yes","blue-collar","yes","married","may",-1,"unknown",0,"no"
"3969",37,281,2,"unknown",16,"no",279,"secondary","yes","admin.","no","married","may",-1,"unknown",0,"no"
"3970",45,137,19,"unknown",16,"no",187,"primary","yes","blue-collar","yes","married","may",-1,"unknown",0,"no"
"3972",35,767,2,"unknown",16,"no",1408,"primary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"3975",45,1113,2,"unknown",16,"no",67,"secondary","yes","self-employed","no","married","may",-1,"unknown",0,"no"
"3976",44,696,3,"unknown",16,"no",680,"secondary","yes","technician","no","single","may",-1,"unknown",0,"no"
"3978",37,197,3,"unknown",16,"no",251,"secondary","yes","blue-collar","no","single","may",-1,"unknown",0,"no"
"3980",43,329,2,"unknown",16,"no",218,"tertiary","yes","admin.","no","single","may",-1,"unknown",0,"no"
"3981",35,510,6,"unknown",16,"no",81,"secondary","yes","blue-collar","no","single","may",-1,"unknown",0,"no"
"3982",30,5,3,"unknown",16,"no",476,"tertiary","no","management","no","single","may",-1,"unknown",0,"no"
"3984",34,488,2,"unknown",16,"no",4,"tertiary","yes","management","no","divorced","may",-1,"unknown",0,"no"
"3985",30,442,3,"unknown",16,"no",283,"secondary","yes","services","no","single","may",-1,"unknown",0,"no"
"3986",46,300,3,"unknown",16,"no",323,"unknown","yes","unknown","no","married","may",-1,"unknown",0,"no"
"3987",52,1007,2,"unknown",16,"no",248,"primary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"3989",36,513,3,"unknown",16,"no",427,"secondary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"3994",41,-104,3,"unknown",16,"no",32,"secondary","yes","blue-collar","no","divorced","may",-1,"unknown",0,"no"
"3995",51,0,19,"unknown",16,"no",330,"tertiary","yes","technician","no","married","may",-1,"unknown",0,"no"
"3996",53,2,2,"unknown",16,"no",851,"secondary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"3997",41,0,5,"unknown",16,"no",522,"primary","yes","blue-collar","no","single","may",-1,"unknown",0,"no"
"3999",53,2884,4,"unknown",16,"no",165,"tertiary","yes","entrepreneur","no","married","may",-1,"unknown",0,"no"
"4000",30,863,5,"unknown",16,"no",1193,"secondary","yes","technician","no","single","may",-1,"unknown",0,"yes"
"4001",27,56,2,"unknown",16,"no",730,"unknown","yes","admin.","no","single","may",-1,"unknown",0,"no"
"4002",32,358,3,"unknown",16,"no",1144,"secondary","yes","services","no","single","may",-1,"unknown",0,"no"
"4004",55,2055,4,"unknown",16,"no",1023,"secondary","yes","technician","no","married","may",-1,"unknown",0,"no"
"4005",35,568,2,"unknown",16,"no",469,"secondary","yes","services","no","single","may",-1,"unknown",0,"no"
"4006",32,0,7,"unknown",16,"no",385,"secondary","yes","management","yes","single","may",-1,"unknown",0,"no"
"4007",57,97,6,"unknown",16,"no",260,"unknown","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"4009",55,0,3,"unknown",16,"no",409,"tertiary","no","unknown","no","married","may",-1,"unknown",0,"no"
"4010",43,3608,6,"unknown",16,"no",165,"secondary","yes","services","no","married","may",-1,"unknown",0,"no"
"4011",42,388,2,"unknown",16,"no",437,"secondary","yes","blue-collar","yes","married","may",-1,"unknown",0,"no"
"4016",34,305,25,"unknown",16,"no",1245,"secondary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"4017",23,105,2,"unknown",16,"no",498,"secondary","yes","blue-collar","no","single","may",-1,"unknown",0,"no"
"4020",31,246,2,"unknown",16,"no",230,"secondary","yes","services","no","married","may",-1,"unknown",0,"no"
"4022",52,1066,3,"unknown",16,"no",65,"secondary","yes","self-employed","no","married","may",-1,"unknown",0,"no"
"4025",60,26,6,"unknown",16,"no",196,"primary","yes","unemployed","no","married","may",-1,"unknown",0,"no"
"4026",42,10561,2,"unknown",16,"no",243,"tertiary","no","management","no","single","may",-1,"unknown",0,"no"
"4028",53,647,6,"unknown",16,"no",512,"tertiary","yes","technician","no","divorced","may",-1,"unknown",0,"no"
"4029",35,368,3,"unknown",16,"no",218,"secondary","yes","admin.","no","single","may",-1,"unknown",0,"no"
"4030",45,-183,3,"unknown",16,"no",215,"secondary","yes","admin.","no","married","may",-1,"unknown",0,"no"
"4031",57,70,5,"unknown",16,"no",186,"primary","yes","retired","yes","married","may",-1,"unknown",0,"no"
"4032",41,141,4,"unknown",16,"no",299,"primary","yes","technician","no","married","may",-1,"unknown",0,"no"
"4033",44,75,3,"unknown",16,"no",107,"primary","no","blue-collar","no","married","may",-1,"unknown",0,"no"
"4034",56,22,7,"unknown",16,"no",103,"unknown","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"4035",46,9,4,"unknown",16,"no",297,"secondary","no","services","no","married","may",-1,"unknown",0,"no"
"4037",51,83,4,"unknown",16,"no",24,"primary","yes","blue-collar","no","divorced","may",-1,"unknown",0,"no"
"4038",27,-20,6,"unknown",16,"no",757,"secondary","no","services","no","single","may",-1,"unknown",0,"no"
"4043",37,792,4,"unknown",16,"no",1187,"secondary","yes","management","no","single","may",-1,"unknown",0,"yes"
"4047",58,331,4,"unknown",19,"no",145,"primary","yes","retired","no","married","may",-1,"unknown",0,"no"
"4049",38,660,2,"unknown",19,"no",105,"secondary","yes","blue-collar","yes","married","may",-1,"unknown",0,"no"
"4050",27,276,2,"unknown",19,"no",311,"secondary","yes","admin.","no","single","may",-1,"unknown",0,"no"
"4051",44,-14,4,"unknown",19,"no",179,"primary","yes","blue-collar","yes","married","may",-1,"unknown",0,"no"
"4052",47,15,2,"unknown",19,"no",62,"secondary","yes","blue-collar","no","single","may",-1,"unknown",0,"no"
"4055",60,2589,2,"unknown",19,"no",134,"tertiary","yes","management","no","divorced","may",-1,"unknown",0,"no"
"4056",37,654,2,"unknown",19,"no",594,"secondary","no","entrepreneur","no","single","may",-1,"unknown",0,"no"
"4058",44,294,2,"unknown",19,"no",66,"secondary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"4059",50,-6,2,"unknown",19,"no",92,"primary","yes","management","no","divorced","may",-1,"unknown",0,"no"
"4061",26,379,3,"unknown",19,"no",501,"secondary","yes","technician","yes","divorced","may",-1,"unknown",0,"no"
"4065",46,1497,6,"unknown",19,"no",374,"tertiary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"4066",46,7934,1,"unknown",19,"no",123,"primary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"4067",55,1261,1,"unknown",19,"no",166,"secondary","no","blue-collar","no","married","may",-1,"unknown",0,"no"
"4068",45,1124,1,"unknown",19,"no",37,"secondary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"4072",57,1920,2,"unknown",19,"no",77,"primary","no","services","no","divorced","may",-1,"unknown",0,"no"
"4073",54,8180,1,"unknown",19,"no",312,"primary","no","blue-collar","no","divorced","may",-1,"unknown",0,"no"
"4075",44,556,3,"unknown",19,"no",134,"secondary","no","services","no","married","may",-1,"unknown",0,"no"
"4077",40,-154,1,"unknown",19,"no",258,"unknown","yes","blue-collar","yes","single","may",-1,"unknown",0,"no"
"4079",48,522,1,"unknown",19,"no",71,"secondary","yes","technician","no","married","may",-1,"unknown",0,"no"
"4080",52,-342,1,"unknown",19,"no",153,"secondary","no","admin.","no","divorced","may",-1,"unknown",0,"no"
"4081",31,43,3,"unknown",19,"no",405,"secondary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"4086",33,0,2,"unknown",19,"no",326,"secondary","no","admin.","no","married","may",-1,"unknown",0,"no"
"4087",43,674,1,"unknown",19,"no",412,"secondary","yes","technician","yes","married","may",-1,"unknown",0,"no"
"4088",46,778,1,"unknown",19,"no",579,"secondary","yes","services","no","divorced","may",-1,"unknown",0,"no"
"4089",43,384,3,"unknown",19,"no",277,"secondary","yes","services","yes","married","may",-1,"unknown",0,"no"
"4091",41,1020,1,"unknown",19,"no",882,"secondary","yes","admin.","no","single","may",-1,"unknown",0,"yes"
"4092",50,1463,1,"unknown",19,"no",380,"secondary","yes","services","no","married","may",-1,"unknown",0,"no"
"4093",50,761,1,"unknown",19,"no",169,"secondary","yes","services","no","divorced","may",-1,"unknown",0,"no"
"4094",40,1380,1,"unknown",19,"no",127,"secondary","yes","admin.","no","married","may",-1,"unknown",0,"no"
"4095",30,71,6,"unknown",19,"no",122,"primary","yes","blue-collar","no","single","may",-1,"unknown",0,"no"
"4099",38,2407,1,"unknown",19,"no",218,"primary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"4100",52,1781,2,"unknown",19,"no",144,"secondary","yes","technician","no","married","may",-1,"unknown",0,"no"
"4102",44,2,1,"unknown",19,"no",429,"secondary","yes","admin.","no","divorced","may",-1,"unknown",0,"no"
"4103",39,259,1,"unknown",19,"no",27,"tertiary","yes","admin.","no","married","may",-1,"unknown",0,"no"
"4105",32,132,2,"unknown",19,"no",343,"secondary","yes","services","yes","married","may",-1,"unknown",0,"no"
"4106",55,2,1,"unknown",19,"no",95,"unknown","yes","management","no","divorced","may",-1,"unknown",0,"no"
"4107",55,283,1,"unknown",19,"no",156,"secondary","yes","services","no","married","may",-1,"unknown",0,"no"
"4110",54,158,1,"unknown",19,"no",198,"secondary","yes","services","no","married","may",-1,"unknown",0,"no"
"4112",46,4301,2,"unknown",19,"no",134,"tertiary","yes","management","yes","married","may",-1,"unknown",0,"no"
"4113",25,815,6,"unknown",19,"no",268,"secondary","yes","blue-collar","no","single","may",-1,"unknown",0,"no"
"4114",49,128,1,"unknown",19,"no",298,"tertiary","yes","management","no","married","may",-1,"unknown",0,"no"
"4118",38,3259,1,"unknown",19,"no",241,"secondary","yes","services","no","married","may",-1,"unknown",0,"no"
"4119",41,-19,1,"unknown",19,"no",201,"secondary","yes","services","no","divorced","may",-1,"unknown",0,"no"
"4121",37,398,1,"unknown",19,"no",206,"secondary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"4122",32,2996,1,"unknown",19,"no",68,"secondary","yes","unemployed","no","married","may",-1,"unknown",0,"no"
"4124",57,5431,2,"unknown",19,"no",97,"tertiary","yes","management","no","married","may",-1,"unknown",0,"no"
"4126",30,1312,2,"unknown",19,"no",285,"secondary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"4127",43,953,1,"unknown",19,"no",135,"primary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"4128",35,5,3,"unknown",19,"no",268,"secondary","no","blue-collar","no","single","may",-1,"unknown",0,"no"
"4129",28,213,1,"unknown",19,"no",267,"secondary","yes","technician","no","single","may",-1,"unknown",0,"no"
"4131",45,970,5,"unknown",19,"no",208,"primary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"4133",38,59,1,"unknown",19,"no",18,"secondary","yes","technician","no","married","may",-1,"unknown",0,"no"
"4137",47,863,2,"unknown",19,"no",943,"secondary","yes","blue-collar","no","married","may",-1,"unknown",0,"yes"
"4138",27,0,1,"unknown",19,"yes",352,"tertiary","yes","management","no","single","may",-1,"unknown",0,"no"
"4140",53,33,12,"unknown",19,"no",84,"secondary","yes","services","no","married","may",-1,"unknown",0,"no"
"4141",48,281,3,"unknown",19,"no",100,"primary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"4143",38,36,1,"unknown",19,"no",143,"secondary","yes","services","no","single","may",-1,"unknown",0,"no"
"4144",32,1879,1,"unknown",19,"no",115,"unknown","no","technician","no","married","may",-1,"unknown",0,"no"
"4145",53,10,1,"unknown",19,"no",73,"primary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"4146",25,77,1,"unknown",19,"no",31,"secondary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"4151",42,14752,2,"unknown",19,"no",107,"primary","no","housemaid","no","married","may",-1,"unknown",0,"no"
"4152",60,738,3,"unknown",19,"no",529,"unknown","no","admin.","no","married","may",-1,"unknown",0,"no"
"4154",46,2851,2,"unknown",19,"no",122,"primary","yes","blue-collar","no","single","may",-1,"unknown",0,"no"
"4155",40,296,1,"unknown",19,"no",198,"tertiary","no","technician","no","married","may",-1,"unknown",0,"no"
"4156",32,1076,1,"unknown",19,"no",67,"primary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"4159",41,197,1,"unknown",19,"no",112,"secondary","yes","services","no","single","may",-1,"unknown",0,"no"
"4163",57,4378,3,"unknown",19,"no",78,"secondary","yes","admin.","no","divorced","may",-1,"unknown",0,"no"
"4164",49,2718,2,"unknown",19,"no",114,"secondary","no","technician","no","married","may",-1,"unknown",0,"no"
"4165",42,103,5,"unknown",19,"no",156,"primary","yes","entrepreneur","no","single","may",-1,"unknown",0,"no"
"4167",31,41,1,"unknown",19,"no",265,"secondary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"4168",26,484,2,"unknown",19,"no",48,"secondary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"4172",38,830,2,"unknown",19,"no",68,"secondary","yes","entrepreneur","no","married","may",-1,"unknown",0,"no"
"4173",45,242,1,"unknown",19,"no",336,"primary","yes","services","no","divorced","may",-1,"unknown",0,"no"
"4174",24,0,1,"unknown",19,"no",202,"secondary","yes","blue-collar","no","single","may",-1,"unknown",0,"no"
"4175",31,6042,1,"unknown",19,"no",228,"secondary","yes","admin.","no","single","may",-1,"unknown",0,"no"
"4176",40,-341,1,"unknown",19,"no",192,"secondary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"4177",34,221,1,"unknown",19,"no",343,"secondary","yes","services","no","divorced","may",-1,"unknown",0,"no"
"4178",24,-46,1,"unknown",19,"no",23,"secondary","yes","technician","no","single","may",-1,"unknown",0,"no"
"4179",26,-5,1,"unknown",19,"no",260,"secondary","no","blue-collar","no","single","may",-1,"unknown",0,"no"
"4181",30,134,1,"unknown",19,"no",70,"tertiary","yes","management","no","married","may",-1,"unknown",0,"no"
"4184",31,221,3,"unknown",19,"no",145,"tertiary","yes","technician","no","single","may",-1,"unknown",0,"no"
"4186",31,97,1,"unknown",19,"no",607,"secondary","yes","admin.","no","married","may",-1,"unknown",0,"yes"
"4188",30,16,5,"unknown",19,"no",127,"secondary","yes","blue-collar","no","single","may",-1,"unknown",0,"no"
"4189",32,144,11,"unknown",19,"no",260,"secondary","yes","services","no","married","may",-1,"unknown",0,"no"
"4190",38,889,4,"unknown",19,"no",197,"tertiary","no","management","no","single","may",-1,"unknown",0,"no"
